Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
JFLL11,Investidores em Geral,Tijolo:Imóveis Residenciais,PLURAL S.A. BANCO MÚLTIPLO,"0,62","0,83",15/01/2024,28/12/2023,"0,62","0,84","100,94","0,74",2,N/A,3.668,"156.421.539,84","74,30"
JGPX11,Investidores em Geral,Fiagro:Fiagro,BANCO DAYCOVAL S.A.,"0,95","1,03",15/01/2024,28/12/2023,"1,17","1,27","95,36","0,96",15,N/A,7.463,"204.635.960,19","92,21"
JPPA11,Investidores em Geral,Papel:Papéis,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,"1,04","1,10",15/01/2024,28/12/2023,"1,24","1,31","97,79","0,94",5,"0,08",8.961,"89.112.139,24","94,81"
JPPC11,Investidores em Geral,Fundo Misto:Fundo de Desenvolvimento,BANCO FINAXIS S.A.,"0,17",N/A,14/07/2022,30/06/2022,"0,60",N/A,"367,13","0,50",1,N/A,88,"22.074.244,04",N/A
JRDM11,Investidores em Geral,Tijolo:Shoppings,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,"7,83",N/A,31/07/2023,26/07/2023,"7,56",N/A,"88,84","0,97",97,N/A,4.001,"224.143.181,16",N/A
JSAF11,Investidores em Geral,Fundo Misto:Indefinido,BANCO J. SAFRA S.A.,"1,00","0,99",15/01/2024,28/12/2023,"0,95","0,94","97,25","1,02",48,"0,28",13.831,"158.152.048,30","101,33"
JSRE11,Investidores em Geral,Fundo Misto:Misto,BANCO J. SAFRA S.A.,"0,46","0,61",15/01/2024,28/12/2023,"0,46","0,62","112,33","0,69",99,"1,24",104.781,"2.275.871.103,33","75,06"
JTPR11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,PLANNER CORRETORA DE VALORES SA,"1,63",N/A,28/09/2020,31/08/2020,"0,38",N/A,"92,09","33,72",N/A,N/A,8,"16.026.468,39",N/A
KCRE11,Investidores em Geral,Fundo Misto:Indefinido,INTRAG DTVM LTDA.,"0,81","0,83",12/01/2024,28/12/2023,"0,97","0,99","102,01","0,96",12,"0,28",10.591,"372.503.556,80","97,96"
KDOL11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KEVE11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,INTRAG DTVM LTDA.,"71,77","6,39",15/01/2024,28/12/2023,"11,74","1,05","929,14","1,32",2,N/A,483,"127.347.008,09","1.122,32"
KFOF11,Investidores em Geral,Papel:Fundo de Fundos,INTRAG DTVM LTDA.,"1,03","1,05",15/01/2024,28/12/2023,"0,80","0,82","95,67","1,02",27,"0,36",19.792,"444.309.562,27","97,87"
KINP11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,INTRAG DTVM LTDA.,"2,90",N/A,28/04/2023,20/04/2023,"1,22",N/A,"3,69","2,66",363,N/A,1.932,"26.408.606,84",N/A
KISU11,Investidores em Geral,Papel:Fundo de Fundos,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,08","0,92",15/01/2024,28/12/2023,"0,07","0,85","8,78","0,93",137,"0,29",132.161,"399.905.434,28","8,66"
KIVO11,Investidores em Geral,Papel:Papéis,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,25","1,38",15/01/2024,28/12/2023,"1,30","1,43","91,84","1,04",26,N/A,4.590,"111.128.010,71","90,85"
KLOG11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KNCA11,Investidores em Geral,Fiagro:Fiagro,INTRAG DTVM LTDA.,"1,05","0,99",12/01/2024,28/12/2023,"1,18","1,11","103,07","1,02",72,N/A,59.022,"2.232.898.415,00","106,11"
KNCR11,Investidores em Geral,Papel:Papéis,INTRAG DTVM LTDA.,"1,01","0,97",12/01/2024,28/12/2023,"1,12","1,07","100,80","1,02",271,"4,66",310.216,"5.759.451.784,13","104,35"
KNHF11,Investidores em Geral,Fundo Misto:Indefinido,INTRAG DTVM LTDA.,"1,00","0,94",11/01/2024,28/12/2023,"0,41","0,39","101,20","1,02",13,N/A,13.087,"1.405.125.036,32","106,48"
KNHY11,Investidor Qualificado,Papel:Papéis,INTRAG DTVM LTDA.,"1,05","1,02",12/01/2024,28/12/2023,"1,08","1,04","102,46","1,03",92,"1,55",16.026,"1.910.593.607,15","103,30"
KNIP11,Investidor Qualificado,Papel:Papéis,INTRAG DTVM LTDA.,"0,75","0,78",12/01/2024,28/12/2023,"0,79","0,83","97,90","0,98",246,"6,14",75.213,"7.937.902.259,41","95,57"
KNPR11,Investidores em Geral,Fundo Misto:Indefinido,INTRAG DTVM LTDA.,"4,65",N/A,11/01/2024,28/12/2023,"0,71",N/A,"102,77",N/A,N/A,N/A,593,"58.689.268,00",N/A
KNRE11,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,INTRAG DTVM LTDA.,"0,07","12,52",13/01/2023,29/12/2022,"0,13","24,07","0,83","0,51",1,N/A,6.839,"14.108.187,28","0,56"
KNRI11,Investidores em Geral,Fundo Misto:Misto,INTRAG DTVM LTDA.,"1,00","0,60",15/01/2024,28/12/2023,"1,01","0,61","159,71","1,04",93,"3,15",264.450,"3.836.940.532,72","165,50"
KNSC11,Investidores em Geral,Papel:Papéis,INTRAG DTVM LTDA.,"0,07","0,77",12/01/2024,28/12/2023,"0,09","0,93","9,06","1,01",384,"0,96",132.602,"1.208.347.949,89","9,13"
KNUQ11,Investidores em Geral,Fundo Misto:Indefinido,INTRAG DTVM LTDA.,"1,14","1,11",11/01/2024,28/12/2023,"0,54","0,53","100,92","1,03",10,N/A,7.760,"745.144.515,41","102,80"
KOPA11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KOPI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KORE11,Investidores em Geral,Fundos Imobiliários:,INTRAG DTVM LTDA.,"0,69","0,64",15/01/2024,28/12/2023,"0,06","0,05","99,93","1,10",48,N/A,14.731,"961.854.941,79","108,00"
LAFI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LASC11,Investidores em Geral,Tijolo:Shoppings,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,67","0,63",08/01/2024,28/12/2023,"0,93","0,88","102,08","0,81",290,N/A,390,"375.328.890,99","106,00"
LATR11B,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,OLIVEIRA TRUST DTVM S.A.,"9,24",N/A,03/04/2023,27/03/2023,"1,60",N/A,"10,59","0,95",2,N/A,132,"1.244.713,00",N/A
LAVF11,Investidor Qualificado,Fundo Misto:Indefinido,BR-CAPITAL DTVM S.A.,"1,30",N/A,13/05/2022,05/05/2022,"0,88",N/A,"4,30",N/A,N/A,N/A,7,"116.243,80",N/A
LFTT11,Investidor Qualificado,Papel:Papéis,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,02","3,30",22/01/2024,09/01/2024,"2,47","7,97","19,11","1,72",410,N/A,504,"134.091.203,33","31,00"
LGCP11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,"0,72","0,80",15/01/2024,28/12/2023,"0,65","0,72","102,37","0,87",13,"0,25",15.633,"367.787.688,94","89,88"
LIFE11,Investidores em Geral,Tijolo:Imóveis Comerciais - Outros,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,"0,13","1,23",08/01/2024,28/12/2023,"0,13","1,30","10,16","0,99",25,N/A,6.130,"226.043.427,01","10,18"
LKDV11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LLAO11,Investidor Qualificado,Fundo Misto:Misto,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,"1,39",N/A,15/01/2024,28/12/2023,"2,22",N/A,"77,33","1,05",4,N/A,77,"26.698.166,06",N/A
LOFT11B,Investidor Qualificado,Fundo Misto:Fundo de Desenvolvimento,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,20","0,72",15/04/2021,31/03/2021,"0,02","0,06","26,92","2,98",N/A,N/A,1,"19.663.388,29","27,98"
LPLP11,Investidor Qualificado,Fundo Misto:Indefinido,OLIVEIRA TRUST DTVM S.A.,"5,99",N/A,15/01/2024,05/01/2024,"16,13",N/A,"413,05","1,28",2,N/A,5,"144.781.405,25",N/A
LRDI11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
